coc_number;company_name;city
;Pelt BV;Oud Ashna aan de IJssel
2037527648;Poppinga-Heinze;Vaneetasland
6056257545;Glissenaar-Thieme;Gertiesluus
6056257545;Foppele, Meeldijk and Morssinkhof;Velthofhoten
2477249462;Ducaat-Tjoonk;Zuid Bentkoop
2274291015;Wegh, Esseboom and Veer;Bekxdorp
2274291015;Lent V.O.F.;Thriksydijk
4927904046;Beijes-Deden;Goudriaansluus
7919660892;Boeijink, Els and Heijdra;West Ruijzenaarsdijk
7919660892;Rond en Zonen;Noord Janninaambacht
8652496889;Gerrist V.O.F.;Fokkestroom
1737240224;Luijsterburg-Reu;Litsenburgrecht
1737240224;Kozan en Zonen;West Fánussluis
2833969310;Altay-Bemd;West Hazenboschplas
9309638963;Bogaars, Vorenholt and Vilsteren;Oost Gaweinhoten
9309638963;Schyns-Ditewig;Christinendrecht
8265520129;Klingenberg-Suppers;Cuijpershout
1085039611;Holtermans-Rietkerken;Laatumlek
1085039611;Sopacua BV;Oud Samarindawoude
8666361005;Knuiman BV;Nieuw Nicolasingen
4668757919;Denderen, Rhemrev and Hermann;Theresewoude
4668757919;Ringlever, Mallo and Kits;Oud Volkerenmaes
9146060261;Rakhan-Vervloet;Noord Diebensluus
9689469789;Verwoert-Gulick;Quinnymeer
9689469789;Cuvelier-Schelde;Monsieurssland
6099199948;Bahar-Sark;West Braafhartenmaes
4849125703;Kovács-Spieker;Süedaingen
4849125703;Callenbach-Flos;Oud Moerehoten
4598511071;Huynh, Ram and Dujardin;Zuid Sharadorp
1556182597;Varkevisser-Bloem;Oost Salfischbergerburg
1556182597;Windster-Barron;West Kaufmankerk
6315676407;Tewari, Grol and Snepvangers;Oost Bruchemhoven
4331236283;Teurlings-Corbeek;Jozienambacht
4331236283;Hooijen V.O.F.;Severijnseberg
5658237662;Duckers, Veringmeier and Changur;Ritchyrecht
4738932335;Houtappels V.O.F.;Oud Florindeplas
4738932335;Palmer-Beusenberg;Fayrouzhoven
5491598411;Hodde-Mentink;Keekeningen
9088898153;Stoorvogel BV;Zuid Ervindawoude
9088898153;Herwijnen-Lambrichs;Wrightendrecht
6158991860;Splinter V.O.F.;Oost Jawalapersadingen
3621236148;Vaassen-Roothans;Moritzplas
3621236148;Kunen-Jiang;Oost Ebbenssluis
4633188177;Munter, Rijsdam and Dellemijn;Adrianalek
9045102886;Lubben, Brederveld and Siebert;Nieuw Timonsluis
9045102886;Rhemrev en Zonen;Niekeeambacht
6931992310;Arenthals V.O.F.;Nijswin aan de IJssel
8512635223;Bogaards V.O.F.;Strijlandkoop
8512635223;Petri-Kaptein;Oost Leijseningen
8042084231;Vastenhouw, Voorthuijzen and Lub;Noord Klootwijkdorp
8109433237;Vaandering BV;Oud Belderbosveld
8109433237;Wendt en Zonen;Tigoenmaes
2938853613;Bockting-Renting;Broekmanplas
5201269571;Keur-Cloin;Ansemhoten
5201269571;Boskamp, Schoonewille and Misiedjan;Zuid Meerloplas
8955732167;Huijink-Rijpkema;Nieuw Manderswijk
8043322373;Yaakoubi Group;Vierhuis aan de Rijn
8043322373;Neerven en Zonen;Menthadam
8353178977;Hoogschagen-Reeder;Noord Merlissaburg
9264614200;Grand, Castel and Kooman;Coonendijk
9264614200;Pardoel V.O.F.;Stammesstroom
1886446092;Kielstra-Zoetbrood;Kraaijenbrinkhoven
4428582472;Struijcken-Kho;Noord Jayneberg
4428582472;Roelfsema-Nederpelt;Zwitserlootplas
3389229280;Vorsselen, Curfs and Sleijpen;Oost Jackyhoten
6365659228;Bosklopper BV;Marjolijnendrecht
6365659228;Later, Verheugd and Staveren;Juanberg
3382123982;Putker-Zanoni;Breenenhoven
6018770870;Gajadhar V.O.F.;Oost Boersmahoten
6018770870;Elenbaas-Roodhart;West Kanterskerk
3085264991;Bootsveld V.O.F.;Catharinaburg
3705630088;Konijnenberg, Algra and Baudoin;Noord Nusiyadorp
3705630088;Veldstra, Thiel and Topper;Oost Soentjensswaerd
8213201850;Daelmans, Egberink and Joosen;Nieuwkerk aan de IJssel
7780876605;Derkx en Zonen;Chynitahoven
7780876605;Bierstekers, Slop and Schothuis;Oud Cocohoten
5651549366;Ruijtenbeek, Boxtel and Heurter;Noord Hadewychenmaes
5994083846;Schoop, Holslag and Durinck;Nieuw Yorick aan de Rijn
5994083846;Fietje-Nugteren;Noord Aldenkamp aan de Rijn
2188790197;Vulink en Zonen;Oost Elzeswaerd
2132212849;Teitsma-Nelom;Nieuw Linthonlek
2132212849;Smiers BV;Rodneysluis
9863358695;Middelburg-Kanning;Gabrikoop
5177742744;Schilthuizen V.O.F.;Buninkburg
5177742744;Streunding en Zonen;Beijeringambacht
6882538216;Wels Group;Nieuw Femmesluis
